"filename", "language", "JavaScript", "JavaScript JSX", "XML", "JSON", "PostCSS", "Dotenv", "Markdown", "HTML", "comment", "blank", "total"
"/Users/shikharsingh/Desktop/careercounselling copy/client/.env", "Dotenv", 0, 0, 0, 0, 0, 6, 0, 0, 0, 1, 7
"/Users/shikharsingh/Desktop/careercounselling copy/client/README.md", "Markdown", 0, 0, 0, 0, 0, 0, 7, 0, 0, 6, 13
"/Users/shikharsingh/Desktop/careercounselling copy/client/eslint.config.js", "JavaScript", 28, 0, 0, 0, 0, 0, 0, 0, 0, 2, 30
"/Users/shikharsingh/Desktop/careercounselling copy/client/index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 13, 0, 1, 14
"/Users/shikharsingh/Desktop/careercounselling copy/client/package-lock.json", "JSON", 0, 0, 0, 6944, 0, 0, 0, 0, 0, 1, 6945
"/Users/shikharsingh/Desktop/careercounselling copy/client/package.json", "JSON", 0, 0, 0, 54, 0, 0, 0, 0, 0, 1, 55
"/Users/shikharsingh/Desktop/careercounselling copy/client/postcss.config.js", "JavaScript", 5, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7
"/Users/shikharsingh/Desktop/careercounselling copy/client/postcss.config.js 18-05-46-290.js", "JavaScript", 6, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
"/Users/shikharsingh/Desktop/careercounselling copy/client/public/vite.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"/Users/shikharsingh/Desktop/careercounselling copy/client/scripts/annotate-ui-check.js", "JavaScript", 12, 0, 0, 0, 0, 0, 0, 0, 1, 1, 14
"/Users/shikharsingh/Desktop/careercounselling copy/client/src/App.css", "PostCSS", 0, 0, 0, 0, 37, 0, 0, 0, 0, 6, 43
"/Users/shikharsingh/Desktop/careercounselling copy/client/src/App.jsx", "JavaScript JSX", 0, 45, 0, 0, 0, 0, 0, 0, 0, 5, 50
"/Users/shikharsingh/Desktop/careercounselling copy/client/src/assets/react.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"/Users/shikharsingh/Desktop/careercounselling copy/client/src/components/AptitudeSection.jsx", "JavaScript JSX", 0, 46, 0, 0, 0, 0, 0, 0, 0, 8, 54
"/Users/shikharsingh/Desktop/careercounselling copy/client/src/components/BarChart.jsx", "JavaScript JSX", 0, 43, 0, 0, 0, 0, 0, 0, 0, 7, 50
"/Users/shikharsingh/Desktop/careercounselling copy/client/src/components/CollegeCard.jsx", "JavaScript JSX", 0, 226, 0, 0, 0, 0, 0, 0, 20, 26, 272
"/Users/shikharsingh/Desktop/careercounselling copy/client/src/components/PersonalitySection.jsx", "JavaScript JSX", 0, 42, 0, 0, 0, 0, 0, 0, 0, 6, 48
